ID,Theme,Title,Level,Skills,Est,Business context,Approach (hint),Expected shape,Common mistakes
K4,K — Geographic,Route liên vùng (Bắc ↔ Nam) volume & SLA,L3,Multi-dim JOIN dim_location,30 phút,,,,
K5,K — Geographic,**CASE: Thị trường tiềm năng** — tỉnh nào có growth rate cao nhưng base thấp,L4,Growth matrix,45 phút,"Expansion team muốn chọn 5 tỉnh để invest (set warehouse, KOL, ads geo-target). Tỉnh lớn đã saturate; tỉnh tiềm năng = growth cao + base chưa lớn → room to grow.",,,"- Chỉ sort theo growth → chọn tỉnh base tí hon, không scale được.
- Chỉ sort theo size → chọn tỉnh đã bão hoà (HN, HCM).
- Pivot FILTER mà quên GROUP BY province → tổng toàn sàn."
L1,L — Capstone (tổng hợp),**Weekly Business Review cho CEO**,L2,,,"Mỗi sáng thứ Hai, analyst gửi CEO 1 báo cáo 1 trang tóm tắt sức khoẻ sàn tuần trước. CEO xem 2 phút rồi quyết định focus tuần này.","1. Xác định week_start của tuần gần nhất (DATE_TRUNC('week', MAX(order_date))).
2. Dùng CTE period tính các period: current_week, last_week, 4w_avg.
3. Mỗi KPI là 1 subquery hoặc FILTER.
4. Cuối cùng pivot ngang — báo cáo thường đọc theo hàng.",,
L2,L — Capstone (tổng hợp),**Post-campaign report** cho 4/4,L2,,,"Sau mỗi Mega Sale, marketing team làm report ""autopsy"". Học viên đóng vai analyst marketing, trả lời:
1. So với 3/3, 4/4 tăng/giảm KPI nào?
2. Ngành nào thắng / thua?
3. Voucher nào redeem cao nhất?
4. ROAS theo channel?
5. New buyer từ 4/4 retention ra sao? (có quay lại 2 tuần sau không)
6. 3 recommendation cho 5/5.",,,
L3,L — Capstone (tổng hợp),"**""Tại sao GMV tháng 3 giảm""** — investigation report",L2,,,"Bạn nhận câu hỏi từ sếp: 'Tháng 3 GMV giảm 15% so với tháng 2, tại sao?' Viết báo cáo điều tra như analyst.",,,
L4,L — Capstone (tổng hợp),**Seller onboarding success** model,L2,,,Seller Ops team muốn biết: metric nào trong 30 ngày đầu của seller mới predict họ sẽ active sau 90 ngày?,,,
L5,L — Capstone (tổng hợp),**Category growth strategy** — pick 1 cat1 to invest,L2,,,Bạn là category manager mới nhận brief: chọn 1 cat1 để invest 5 tỷ ngân sách quý sau. Justify bằng data.,,,
L6,L — Capstone (tổng hợp),**Customer win-back** voucher design,L2,,,"CRM team chuẩn bị chiến dịch win-back. Muốn personalize voucher dựa trên:
- Cat1 khách hay mua
- AOV trung bình
- Thời gian lapse",,,
L7,L — Capstone (tổng hợp),**Flash sale vs daily deal** sustainability,L2,,,"Format promo nào bền vững hơn: flash sale (2h, discount sâu) hay daily deal (24h, discount vừa)? Đo bằng (a) GMV trong promo, (b) GMV 7 ngày sau promo (post-halo hay post-dip).",,,
L8,L — Capstone (tổng hợp),**Data quality audit** — tìm 10 anomaly,L2,,,"Trước khi làm report, analyst nên check data quality. Tìm 10 anomaly trong dataset:","Viết 10 query ngắn, mỗi query 1 check, return 5-10 ví dụ anomaly.",,
